round_number,group_id,timestamp,price,asset,maker,taker,making_order_status,taking_order_status
1,1,58.372561,40.0,A,fxdiih74,ff1ohyah,TRADED_MAKER,TRADED_TAKER
1,1,73.593897,30.0,A,fxdiih74,xkpiy4vt,TRADED_MAKER,TRADED_TAKER
1,1,82.670333,35.0,A,192pefn6,1ybdzzui,TRADED_MAKER,TRADED_TAKER
1,1,89.857012,40.0,A,n0nfwxhp,ff1ohyah,TRADED_MAKER,TRADED_TAKER
1,1,94.799499,65.0,C,t1c85kki,1ybdzzui,TRADED_MAKER,TRADED_TAKER
1,1,95.851231,10.0,C,fxdiih74,cqq5du2k,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,103.656964,70.0,B,ff1ohyah,fxdiih74,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,113.604473,15.0,A,4euiqmk6,fxdiih74,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,116.186696,20.0,B,1ybdzzui,7kkt7xdi,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,118.450963,10.0,C,4euiqmk6,fxdiih74,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,119.268818,60.0,B,192pefn6,ff1ohyah,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,126.388449,50.0,A,03sa74ke,qfclxxue,TRADED_MAKER,TRADED_TAKER
1,1,130.53062,60.0,C,qfclxxue,sk3234qu,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,131.395315,50.0,A,qfclxxue,ff1ohyah,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,133.581042,45.0,A,fxdiih74,1ybdzzui,TRADED_MAKER,TRADED_TAKER
1,1,134.757879,50.0,A,192pefn6,qfclxxue,TRADED_MAKER,TRADED_TAKER
1,1,137.082443,40.0,A,1ybdzzui,t1c85kki,TRADED_MAKER,TRADED_TAKER
1,1,148.299094,75.0,B,u4nityci,xkpiy4vt,TRADED_MAKER,TRADED_TAKER
1,1,152.21612,10.0,C,7kkt7xdi,fxdiih74,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,159.105092,55.0,C,u4nityci,1ybdzzui,TRADED_MAKER,TRADED_TAKER
1,1,162.43473,45.0,A,t1c85kki,fxdiih74,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,166.852519,50.0,A,cqq5du2k,n0nfwxhp,ACCEPTED_MAKER,ACCEPTED_TAKER
1,1,167.242816,55.0,C,1ybdzzui,192pefn6,TRADED_MAKER,TRADED_TAKER
1,1,168.962743,50.0,A,qfclxxue,4euiqmk6,TRADED_MAKER,TRADED_TAKER
1,1,169.821968,40.0,B,1ybdzzui,sk3234qu,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,7.651698,50.0,A,fxdiih74,fxdiih74,TRADED_MAKER,TRADED_TAKER
2,1,11.239794,30.0,B,4euiqmk6,7kkt7xdi,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,11.578256,40.0,A,192pefn6,ff1ohyah,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,13.885381,45.0,A,fxdiih74,ff1ohyah,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,14.622371,50.0,A,xkpiy4vt,1ybdzzui,TRADED_MAKER,TRADED_TAKER
2,1,19.62566,45.0,B,u4nityci,fxdiih74,TRADED_MAKER,TRADED_TAKER
2,1,23.189071,50.0,B,03sa74ke,fxdiih74,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,31.701101,40.0,B,ff1ohyah,fxdiih74,TRADED_MAKER,TRADED_TAKER
2,1,34.236483,45.0,B,sk3234qu,fxdiih74,TRADED_MAKER,TRADED_TAKER
2,1,36.190074,49.0,B,t1c85kki,fxdiih74,TRADED_MAKER,TRADED_TAKER
2,1,42.445983,45.0,C,ff1ohyah,sk3234qu,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,44.180974,90.0,C,u4nityci,cqq5du2k,TRADED_MAKER,TRADED_TAKER
2,1,48.824885,35.0,C,cqq5du2k,fxdiih74,TRADED_MAKER,TRADED_TAKER
2,1,50.520277,50.0,A,1ybdzzui,4euiqmk6,TRADED_MAKER,TRADED_TAKER
2,1,59.450067,50.0,A,qfclxxue,7kkt7xdi,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,67.408335,49.0,B,u4nityci,4euiqmk6,TRADED_MAKER,TRADED_TAKER
2,1,69.415425,50.0,B,03sa74ke,4euiqmk6,TRADED_MAKER,TRADED_TAKER
2,1,76.950453,50.0,B,fxdiih74,4euiqmk6,TRADED_MAKER,TRADED_TAKER
2,1,78.38767,75.0,A,t1c85kki,sk3234qu,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,80.794641,40.0,B,xkpiy4vt,fxdiih74,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,82.630814,90.0,C,u4nityci,7kkt7xdi,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,89.871559,50.0,C,03sa74ke,1ybdzzui,TRADED_MAKER,TRADED_TAKER
2,1,94.268943,40.0,A,03sa74ke,fxdiih74,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,96.662794,50.0,A,1ybdzzui,fxdiih74,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,113.530173,50.0,A,4euiqmk6,192pefn6,TRADED_MAKER,TRADED_TAKER
2,1,118.195691,80.0,A,ff1ohyah,sk3234qu,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,120.711325,40.0,A,192pefn6,1ybdzzui,TRADED_MAKER,TRADED_TAKER
2,1,130.650265,100.0,C,xkpiy4vt,7kkt7xdi,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,134.11252,45.0,B,n0nfwxhp,fxdiih74,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,134.987269,45.0,B,1ybdzzui,sk3234qu,ACCEPTED_MAKER,ACCEPTED_TAKER
2,1,135.409316,50.0,C,192pefn6,1ybdzzui,TRADED_MAKER,TRADED_TAKER
2,1,163.762934,50.0,B,t1c85kki,fxdiih74,TRADED_MAKER,TRADED_TAKER
2,1,173.301796,40.0,B,fxdiih74,sk3234qu,TRADED_MAKER,TRADED_TAKER
2,1,173.810939,200.0,D,u4nityci,bot-ETFMakerBot-262,TRADED_MAKER,TRADED_TAKER
2,1,173.91471,70.0,A,ff1ohyah,bot-ETFMakerBot-262,MARKET_MAKER,MARKET_TAKER
2,1,174.055931,50.0,A,1ybdzzui,bot-ETFMakerBot-262,MARKET_MAKER,MARKET_TAKER
2,1,174.21041,80.0,A,t1c85kki,bot-ETFMakerBot-262,MARKET_MAKER,MARKET_TAKER
2,1,174.344224,50.0,A,ff1ohyah,bot-ETFMakerBot-262,MARKET_MAKER,MARKET_TAKER
2,1,174.470543,90.0,A,ff1ohyah,bot-ETFMakerBot-262,MARKET_MAKER,MARKET_TAKER
2,1,174.591049,10.0,A,xkpiy4vt,bot-ETFMakerBot-262,MARKET_MAKER,MARKET_TAKER
2,1,174.710325,60.0,C,1ybdzzui,bot-ETFMakerBot-262,MARKET_MAKER,MARKET_TAKER
2,1,174.860942,30.0,C,192pefn6,bot-ETFMakerBot-262,MARKET_MAKER,MARKET_TAKER
2,1,174.970086,60.0,C,ff1ohyah,bot-ETFMakerBot-262,MARKET_MAKER,MARKET_TAKER
2,1,175.105732,20.0,C,7kkt7xdi,bot-ETFMakerBot-262,MARKET_MAKER,MARKET_TAKER
2,1,175.208798,79.0,C,u4nityci,bot-ETFMakerBot-262,MARKET_MAKER,MARKET_TAKER
2,1,175.317792,20.0,C,4euiqmk6,bot-ETFMakerBot-262,MARKET_MAKER,MARKET_TAKER
2,1,175.449722,80.0,C,ff1ohyah,bot-ETFMakerBot-262,MARKET_MAKER,MARKET_TAKER
2,1,175.581339,11.0,C,4euiqmk6,bot-ETFMakerBot-262,MARKET_MAKER,MARKET_TAKER
2,1,175.713104,90.0,C,xkpiy4vt,bot-ETFMakerBot-262,MARKET_MAKER,MARKET_TAKER
2,1,175.864345,90.0,C,xkpiy4vt,bot-ETFMakerBot-262,MARKET_MAKER,MARKET_TAKER
3,1,10.607876,50.0,A,fxdiih74,192pefn6,TRADED_MAKER,TRADED_TAKER
3,1,11.532775,30.0,A,4euiqmk6,fxdiih74,TRADED_MAKER,TRADED_TAKER
3,1,12.832751,50.0,B,03sa74ke,qfclxxue,TRADED_MAKER,TRADED_TAKER
3,1,17.822102,10.0,A,fxdiih74,ff1ohyah,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,18.514199,40.0,B,ff1ohyah,sk3234qu,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,29.159126,30.0,B,4euiqmk6,fxdiih74,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,29.737502,50.0,A,cqq5du2k,1ybdzzui,TRADED_MAKER,TRADED_TAKER
3,1,33.665056,40.0,C,4euiqmk6,qfclxxue,TRADED_MAKER,TRADED_TAKER
3,1,34.596348,45.0,B,n0nfwxhp,03sa74ke,TRADED_MAKER,TRADED_TAKER
3,1,40.205077,70.0,A,03sa74ke,sk3234qu,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,43.639292,40.0,A,xkpiy4vt,ff1ohyah,TRADED_MAKER,TRADED_TAKER
3,1,44.738032,74.0,C,u4nityci,fxdiih74,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,45.441546,40.0,B,7kkt7xdi,1ybdzzui,TRADED_MAKER,TRADED_TAKER
3,1,52.065027,49.0,B,u4nityci,192pefn6,TRADED_MAKER,TRADED_TAKER
3,1,54.764756,50.0,C,03sa74ke,1ybdzzui,TRADED_MAKER,TRADED_TAKER
3,1,55.795768,50.0,B,xkpiy4vt,03sa74ke,TRADED_MAKER,TRADED_TAKER
3,1,57.691721,35.0,A,ff1ohyah,1ybdzzui,TRADED_MAKER,TRADED_TAKER
3,1,69.280322,70.0,C,t1c85kki,qfclxxue,TRADED_MAKER,TRADED_TAKER
3,1,76.256624,30.0,A,7kkt7xdi,fxdiih74,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,78.709341,50.0,B,03sa74ke,1ybdzzui,TRADED_MAKER,TRADED_TAKER
3,1,80.423942,10.0,A,fxdiih74,7kkt7xdi,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,81.160243,40.0,A,03sa74ke,xkpiy4vt,TRADED_MAKER,TRADED_TAKER
3,1,85.383926,75.0,C,n0nfwxhp,sk3234qu,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,87.628087,50.0,A,1ybdzzui,xkpiy4vt,TRADED_MAKER,TRADED_TAKER
3,1,89.622462,40.0,C,cqq5du2k,fxdiih74,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,90.4489,255.0,D,t1c85kki,bot-ETFMakerBot-263,TRADED_MAKER,TRADED_TAKER
3,1,90.55836,100.0,A,u4nityci,bot-ETFMakerBot-263,MARKET_MAKER,MARKET_TAKER
3,1,90.667467,35.0,A,4euiqmk6,bot-ETFMakerBot-263,MARKET_MAKER,MARKET_TAKER
3,1,90.797773,40.0,C,qfclxxue,bot-ETFMakerBot-263,MARKET_MAKER,MARKET_TAKER
3,1,90.907642,30.0,A,ff1ohyah,bot-ETFMakerBot-263,MARKET_MAKER,MARKET_TAKER
3,1,91.03403,80.0,C,4euiqmk6,bot-ETFMakerBot-263,MARKET_MAKER,MARKET_TAKER
3,1,91.157729,20.0,A,03sa74ke,bot-ETFMakerBot-263,MARKET_MAKER,MARKET_TAKER
3,1,91.270387,100.0,C,xkpiy4vt,bot-ETFMakerBot-263,MARKET_MAKER,MARKET_TAKER
3,1,91.38912,35.0,C,192pefn6,bot-ETFMakerBot-263,MARKET_MAKER,MARKET_TAKER
3,1,91.516213,20.0,C,7kkt7xdi,bot-ETFMakerBot-263,MARKET_MAKER,MARKET_TAKER
3,1,95.378582,59.0,B,sk3234qu,4euiqmk6,TRADED_MAKER,TRADED_TAKER
3,1,107.96568,55.0,B,t1c85kki,fxdiih74,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,109.709175,50.0,B,cqq5du2k,4euiqmk6,TRADED_MAKER,TRADED_TAKER
3,1,110.982857,20.0,C,7kkt7xdi,xkpiy4vt,TRADED_MAKER,TRADED_TAKER
3,1,113.906818,90.0,A,1ybdzzui,n0nfwxhp,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,121.209172,50.0,B,1ybdzzui,192pefn6,TRADED_MAKER,TRADED_TAKER
3,1,121.499752,30.0,C,fxdiih74,ff1ohyah,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,122.615846,40.0,B,fxdiih74,03sa74ke,TRADED_MAKER,TRADED_TAKER
3,1,127.012154,20.0,B,cqq5du2k,xkpiy4vt,TRADED_MAKER,TRADED_TAKER
3,1,129.206741,40.0,B,03sa74ke,7kkt7xdi,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,135.933713,30.0,C,4euiqmk6,xkpiy4vt,TRADED_MAKER,TRADED_TAKER
3,1,136.341084,40.0,A,fxdiih74,t1c85kki,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,140.387657,50.0,C,4euiqmk6,ff1ohyah,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,140.945292,60.0,A,03sa74ke,7kkt7xdi,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,146.990366,50.0,A,1ybdzzui,fxdiih74,TRADED_MAKER,TRADED_TAKER
3,1,148.500549,75.0,C,u4nityci,qfclxxue,TRADED_MAKER,TRADED_TAKER
3,1,151.041821,55.0,A,4euiqmk6,ff1ohyah,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,153.074245,40.0,B,1ybdzzui,fxdiih74,TRADED_MAKER,TRADED_TAKER
3,1,163.977923,50.0,C,4euiqmk6,fxdiih74,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,174.546377,50.0,C,sk3234qu,xkpiy4vt,TRADED_MAKER,TRADED_TAKER
3,1,178.93443,40.0,C,ff1ohyah,fxdiih74,ACCEPTED_MAKER,ACCEPTED_TAKER
3,1,179.818127,160.0,D,u4nityci,bot-ETFMakerBot-263,TRADED_MAKER,TRADED_TAKER
3,1,179.921305,55.0,A,4euiqmk6,bot-ETFMakerBot-263,MARKET_MAKER,MARKET_TAKER
3,1,180.048426,50.0,A,03sa74ke,bot-ETFMakerBot-263,MARKET_MAKER,MARKET_TAKER
3,1,180.168042,70.0,A,ff1ohyah,bot-ETFMakerBot-263,MARKET_MAKER,MARKET_TAKER
3,1,180.300006,40.0,A,t1c85kki,bot-ETFMakerBot-263,MARKET_MAKER,MARKET_TAKER
3,1,180.425477,40.0,C,4euiqmk6,bot-ETFMakerBot-263,MARKET_MAKER,MARKET_TAKER
3,1,180.549952,25.0,A,fxdiih74,bot-ETFMakerBot-263,MARKET_MAKER,MARKET_TAKER
3,1,180.686829,40.0,C,ff1ohyah,bot-ETFMakerBot-263,MARKET_MAKER,MARKET_TAKER
3,1,180.816203,25.0,A,fxdiih74,bot-ETFMakerBot-263,MARKET_MAKER,MARKET_TAKER
3,1,180.961405,100.0,C,7kkt7xdi,bot-ETFMakerBot-263,MARKET_MAKER,MARKET_TAKER
3,1,181.072939,30.0,C,qfclxxue,bot-ETFMakerBot-263,MARKET_MAKER,MARKET_TAKER
3,1,181.219155,20.0,C,cqq5du2k,bot-ETFMakerBot-263,MARKET_MAKER,MARKET_TAKER
4,1,11.64044,50.0,A,fxdiih74,192pefn6,TRADED_MAKER,TRADED_TAKER
4,1,12.307599,30.0,A,4euiqmk6,xkpiy4vt,TRADED_MAKER,TRADED_TAKER
4,1,12.965934,50.0,C,1ybdzzui,4euiqmk6,TRADED_MAKER,TRADED_TAKER
4,1,16.958852,50.0,A,qfclxxue,sk3234qu,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,17.518349,20.0,A,fxdiih74,03sa74ke,TRADED_MAKER,TRADED_TAKER
4,1,18.858076,60.0,C,03sa74ke,qfclxxue,TRADED_MAKER,TRADED_TAKER
4,1,22.543679,40.0,C,192pefn6,qfclxxue,TRADED_MAKER,TRADED_TAKER
4,1,26.647673,30.0,C,03sa74ke,xkpiy4vt,TRADED_MAKER,TRADED_TAKER
4,1,27.658988,70.0,A,03sa74ke,qfclxxue,TRADED_MAKER,TRADED_TAKER
4,1,30.235537,200.0,D,bot-ETFMakerBot-264,ff1ohyah,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,30.363741,90.0,A,ff1ohyah,bot-ETFMakerBot-264,MARKET_MAKER,MARKET_TAKER
4,1,30.494223,50.0,A,1ybdzzui,bot-ETFMakerBot-264,MARKET_MAKER,MARKET_TAKER
4,1,30.636246,30.0,C,xkpiy4vt,bot-ETFMakerBot-264,MARKET_MAKER,MARKET_TAKER
4,1,30.764507,20.0,C,7kkt7xdi,bot-ETFMakerBot-264,MARKET_MAKER,MARKET_TAKER
4,1,30.876552,80.0,C,u4nityci,bot-ETFMakerBot-264,MARKET_MAKER,MARKET_TAKER
4,1,33.535355,25.0,C,4euiqmk6,fxdiih74,TRADED_MAKER,TRADED_TAKER
4,1,38.202561,50.0,B,03sa74ke,qfclxxue,TRADED_MAKER,TRADED_TAKER
4,1,39.904639,50.0,C,03sa74ke,n0nfwxhp,TRADED_MAKER,TRADED_TAKER
4,1,40.358469,50.0,A,cqq5du2k,192pefn6,TRADED_MAKER,TRADED_TAKER
4,1,43.610454,50.0,A,qfclxxue,sk3234qu,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,45.771751,50.0,C,n0nfwxhp,qfclxxue,TRADED_MAKER,TRADED_TAKER
4,1,49.600939,65.0,A,t1c85kki,ff1ohyah,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,50.848001,90.0,A,fxdiih74,4euiqmk6,TRADED_MAKER,TRADED_TAKER
4,1,51.725004,60.0,C,4euiqmk6,qfclxxue,TRADED_MAKER,TRADED_TAKER
4,1,57.364288,70.0,A,4euiqmk6,n0nfwxhp,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,60.03462,60.0,A,03sa74ke,fxdiih74,TRADED_MAKER,TRADED_TAKER
4,1,65.694515,259.0,D,bot-ETFMakerBot-264,t1c85kki,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,65.81889,80.0,A,03sa74ke,bot-ETFMakerBot-264,MARKET_MAKER,MARKET_TAKER
4,1,65.936431,50.0,A,1ybdzzui,bot-ETFMakerBot-264,MARKET_MAKER,MARKET_TAKER
4,1,66.08338,170.0,A,7kkt7xdi,bot-ETFMakerBot-264,MARKET_MAKER,MARKET_TAKER
4,1,66.202912,30.0,C,1ybdzzui,bot-ETFMakerBot-264,MARKET_MAKER,MARKET_TAKER
4,1,66.344361,89.0,C,7kkt7xdi,bot-ETFMakerBot-264,MARKET_MAKER,MARKET_TAKER
4,1,66.45541,25.0,C,fxdiih74,bot-ETFMakerBot-264,MARKET_MAKER,MARKET_TAKER
4,1,66.592947,90.0,C,u4nityci,bot-ETFMakerBot-264,MARKET_MAKER,MARKET_TAKER
4,1,67.582098,50.0,B,1ybdzzui,sk3234qu,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,74.427017,50.0,C,ff1ohyah,sk3234qu,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,84.324679,50.0,B,03sa74ke,qfclxxue,TRADED_MAKER,TRADED_TAKER
4,1,92.552475,45.0,B,t1c85kki,03sa74ke,TRADED_MAKER,TRADED_TAKER
4,1,94.091887,65.0,A,t1c85kki,ff1ohyah,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,96.128694,60.0,A,4euiqmk6,qfclxxue,TRADED_MAKER,TRADED_TAKER
4,1,96.554586,50.0,C,xkpiy4vt,fxdiih74,TRADED_MAKER,TRADED_TAKER
4,1,98.147697,40.0,C,4euiqmk6,fxdiih74,TRADED_MAKER,TRADED_TAKER
4,1,98.757959,50.0,A,03sa74ke,qfclxxue,TRADED_MAKER,TRADED_TAKER
4,1,100.795414,200.0,D,4euiqmk6,bot-ETFMakerBot-264,TRADED_MAKER,TRADED_TAKER
4,1,100.907134,70.0,A,sk3234qu,bot-ETFMakerBot-264,MARKET_MAKER,MARKET_TAKER
4,1,101.013665,30.0,A,xkpiy4vt,bot-ETFMakerBot-264,MARKET_MAKER,MARKET_TAKER
4,1,101.133943,85.0,A,fxdiih74,bot-ETFMakerBot-264,MARKET_MAKER,MARKET_TAKER
4,1,101.309246,30.0,C,fxdiih74,bot-ETFMakerBot-264,MARKET_MAKER,MARKET_TAKER
4,1,101.479633,90.0,C,7kkt7xdi,bot-ETFMakerBot-264,MARKET_MAKER,MARKET_TAKER
4,1,107.861838,45.0,C,cqq5du2k,1ybdzzui,TRADED_MAKER,TRADED_TAKER
4,1,111.713524,40.0,B,03sa74ke,1ybdzzui,TRADED_MAKER,TRADED_TAKER
4,1,114.682552,90.0,C,sk3234qu,qfclxxue,TRADED_MAKER,TRADED_TAKER
4,1,116.177383,40.0,A,1ybdzzui,fxdiih74,TRADED_MAKER,TRADED_TAKER
4,1,123.198606,210.0,D,4euiqmk6,7kkt7xdi,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,128.657708,54.0,B,u4nityci,sk3234qu,ACCEPTED_MAKER,ACCEPTED_TAKER
4,1,134.305005,30.0,B,4euiqmk6,xkpiy4vt,TRADED_MAKER,TRADED_TAKER
4,1,135.0014,70.0,C,03sa74ke,sk3234qu,ACCEPTED_MAKER,ACCEPTED_TAKER
